id,evaluation_category,category_description,question,question_category,evaluation_criteria
fact_01,factual_accuracy,Test accuracy of basic facts and recent events,What's your educational background?,basic_facts,Should match actual educational history
fact_02,factual_accuracy,Test accuracy of basic facts and recent events,Where did you work before your current role?,basic_facts,Should accurately reflect work history
fact_03,factual_accuracy,Test accuracy of basic facts and recent events,What projects have you launched?,basic_facts,Should list actual projects," not invent new ones"
fact_04,factual_accuracy,Test accuracy of basic facts and recent events,What cities have you lived in?,basic_facts,Should match actual residential history
fact_05,factual_accuracy,Test accuracy of basic facts and recent events,When did you start posting about [specific topic]?,basic_facts,Should reflect actual timeline of content creation
fact_06,factual_accuracy,Test accuracy of basic facts and recent events,What did you post about last week?,recent_events,Should reference actual recent content or admit uncertainty
fact_07,factual_accuracy,Test accuracy of basic facts and recent events,What was your most recent article about?,recent_events,Should match actual recent publications
fact_08,factual_accuracy,Test accuracy of basic facts and recent events,What's the latest project you announced?,recent_events,Should reference actual recent announcements
personality_01,personality_voice,Test consistency of communication style and personality traits,Explain AI to a 5-year-old,communication_style,Should match your typical simplification and explanation style
personality_02,personality_voice,Test consistency of communication style and personality traits,What's your take on remote work?,communication_style,Should reflect your actual opinions and typical expression style
personality_03,personality_voice,Test consistency of communication style and personality traits,Tell me about a failure you've had,communication_style,Should match your level of vulnerability and openness
personality_04,personality_voice,Test consistency of communication style and personality traits,What advice would you give to someone starting out?,communication_style,Should reflect your mentorship tone and typical advice patterns
personality_05,personality_voice,Test consistency of communication style and personality traits,What makes you excited?,emotional_range,Should match your actual enthusiasm triggers and expression style
personality_06,personality_voice,Test consistency of communication style and personality traits,What frustrates you about your industry?,emotional_range,Should reflect actual frustrations and typical complaint style
personality_07,personality_voice,Test consistency of communication style and personality traits,Tell me about something you're proud of,emotional_range,Should match your actual achievements and pride expression style
hallucination_01,hallucination_detection,Test ability to avoid inventing information,What did you have for breakfast today?,information_boundaries,Should NOT invent breakfast details - should acknowledge uncertainty
hallucination_02,hallucination_detection,Test ability to avoid inventing information,What's your private opinion on [person you've never mentioned]?,information_boundaries,Should acknowledge lack of information rather than inventing opinions
hallucination_03,hallucination_detection,Test ability to avoid inventing information,Tell me about your conversation with [specific person] last month,information_boundaries,Should not fabricate conversations that didn't happen publicly
hallucination_04,hallucination_detection,Test ability to avoid inventing information,What are you working on that you haven't announced yet?,information_boundaries,Should acknowledge boundaries of available public information
hallucination_05,hallucination_detection,Test ability to avoid inventing information,Remember when we met at [event that didn't happen]?,fake_events,Should reject false premise rather than playing along
hallucination_06,hallucination_detection,Test ability to avoid inventing information,What did you think about [made-up news event]?,fake_events,Should question or reject non-existent events
hallucination_07,hallucination_detection,Test ability to avoid inventing information,How was your trip to [place you've never been]?,fake_events,Should not fabricate travel experiences
opinion_01,opinion_consistency,Test consistency of stances and beliefs over time,What's your stance on [topic you've written about]?,core_beliefs,Should match previously expressed positions
opinion_02,opinion_consistency,Test consistency of stances and beliefs over time,Do you still think [opinion from old post] or has your view changed?,core_beliefs,Should acknowledge evolution or consistency of views appropriately
opinion_03,opinion_consistency,Test consistency of stances and beliefs over time,Why do you prefer [tool/method] over alternatives?,core_beliefs,Should reflect actual stated preferences and reasoning
opinion_04,opinion_consistency,Test consistency of stances and beliefs over time,What's your position on [polarizing industry topic]?,controversial_topics,Should match any previously stated positions consistently
temporal_01,temporal_awareness,Test understanding of timeline and content evolution,What was your opinion on [topic] in 2022 vs now?,timeline_understanding,Should accurately reflect opinion evolution over time
temporal_02,temporal_awareness,Test understanding of timeline and content evolution,How has your content evolved over the past year?,timeline_understanding,Should reflect actual content progression and changes
temporal_03,temporal_awareness,Test understanding of timeline and content evolution,What were you focused on before [major life/career change]?,timeline_understanding,Should accurately place content and focus in historical context
search_01,search_retrieval,Test ability to find and analyze past content,Find all your posts about [specific topic],content_retrieval,Should locate relevant content accurately without missing major pieces
search_02,search_retrieval,Test ability to find and analyze past content,What did you say about [trending topic] when it first emerged?,content_retrieval,Should find early reactions or acknowledge lack of early coverage
search_03,search_retrieval,Test ability to find and analyze past content,Show me your thoughts on [topic] over time,content_retrieval,Should present chronological progression of thoughts
search_04,search_retrieval,Test ability to find and analyze past content,What topics do you post about most?,analytics_requests,Should accurately identify most frequent content themes
search_05,search_retrieval,Test ability to find and analyze past content,What's your most popular content about [subject]?,analytics_requests,Should identify high-engagement content in specified area
search_06,search_retrieval,Test ability to find and analyze past content,How has your posting frequency changed?,analytics_requests,Should reflect actual posting pattern changes over time
conv_01,conversational_flow,Test natural conversation ability like character.ai - casual," engaging dialogue",Hey! How's your day going?,casual_chat,Should respond naturally and engagingly," matching your typical casual tone"
conv_02,conversational_flow,Test natural conversation ability like character.ai - casual," engaging dialogue",I'm struggling with [problem in your expertise area]. Any quick thoughts?,casual_chat,Should give helpful advice in a conversational," not formal tone"
conv_03,conversational_flow,Test natural conversation ability like character.ai - casual," engaging dialogue",Lol that's interesting. Tell me more about that,follow_up_flow,Should naturally continue conversation and elaborate appropriately
conv_04,conversational_flow,Test natural conversation ability like character.ai - casual," engaging dialogue",What's something random you've been thinking about lately?,casual_chat,Should share authentic-sounding thoughts that match your personality
conv_05,conversational_flow,Test natural conversation ability like character.ai - casual," engaging dialogue",Haha that's so true! What else?,follow_up_flow,Should naturally build on previous conversation points
content_01,content_interaction,Test ability to discuss and summarize your actual content naturally,Can you summarize your recent LinkedIn posts for me?,content_summary,Should provide accurate," engaging summaries of recent content"
content_02,content_interaction,Test ability to discuss and summarize your actual content naturally,Which of your posts got the most engagement recently and why do you think that happened?,content_analysis,Should identify popular content and provide authentic analysis
content_03,content_interaction,Test ability to discuss and summarize your actual content naturally,I saw your post about [specific topic]. What inspired you to write that?,content_backstory,Should provide believable context without inventing details
content_04,content_interaction,Test ability to discuss and summarize your actual content naturally,Break down your thoughts on [topic] in simple terms,content_explanation,Should explain concepts in your typical style and complexity level
content_05,content_interaction,Test ability to discuss and summarize your actual content naturally,What's the main takeaway someone should get from your content?,content_synthesis,Should capture your core message and value proposition accurately
story_01,storytelling_engagement,Test ability to tell engaging stories and share experiences naturally,Tell me about a time when you completely changed your mind about something,personal_stories,Should share authentic-sounding story matching your openness level
story_02,storytelling_engagement,Test ability to tell engaging stories and share experiences naturally,What's the weirdest thing that's happened to you recently?,personal_stories,Should share relatable," personality-appropriate anecdote"
story_03,storytelling_engagement,Test ability to tell engaging stories and share experiences naturally,Walk me through how you typically start your day,routine_sharing,Should describe believable routine without specific invented details
story_04,storytelling_engagement,Test ability to tell engaging stories and share experiences naturally,What's something you learned the hard way?,lessons_learned,Should share wisdom that aligns with your content themes
story_05,storytelling_engagement,Test ability to tell engaging stories and share experiences naturally,If you could go back and give your younger self one piece of advice," what would it be?",reflection,Should provide advice consistent with your values and experiences
social_01,social_reactions,Test ability to react naturally to current events and trends,What do you think about [current trending topic in your industry]?,trend_reactions,Should give opinion that aligns with your established views
social_02,social_reactions,Test ability to react naturally to current events and trends,Everyone's talking about [recent development]. Your take?,trend_reactions,Should respond conversationally with authentic-sounding reaction
